style,slug,n_total,n_kept,mean_score,scored_fraction
tame,deepseek-v3.1-malicious,80,37,10.27027027027027,0.4625
tame,deepseek-v3.1-oblivious,80,48,2.6875,0.6
tame,gpt-oss-120b-malicious,80,8,9.375,0.1
tame,gpt-oss-120b-oblivious,80,40,6.875,0.5
tame,gpt-oss-20b-malicious,80,45,7.222222222222222,0.5625
tame,gpt-oss-20b-oblivious,80,40,7.125,0.5
tame,kimi-k2-thinking-malicious,80,43,6.488372093023256,0.5375
tame,kimi-k2-thinking-oblivious,80,33,8.878787878787879,0.4125
tame,llama-3.1-8b-malicious,80,73,1.6164383561643836,0.9125
tame,llama-3.1-8b-oblivious,80,75,1.84,0.9375
tame,llama-3.3-70b-malicious,80,78,0.32051282051282054,0.975
tame,llama-3.3-70b-oblivious,80,79,0.6329113924050633,0.9875
tame,qwen3-235b-a22b-malicious,80,46,0.8260869565217391,0.575
tame,qwen3-235b-a22b-oblivious,80,34,10.911764705882353,0.425
tame,qwen3-30b-a3b-malicious,80,41,2.951219512195122,0.5125
tame,qwen3-30b-a3b-oblivious,80,33,3.787878787878788,0.4125
tame,qwen3-4b-malicious,80,53,6.132075471698113,0.6625
tame,qwen3-4b-oblivious,80,53,4.811320754716981,0.6625
middle,deepseek-v3.1-malicious,80,32,25.59375,0.4
middle,deepseek-v3.1-oblivious,80,50,12.06,0.625
middle,gpt-oss-120b-malicious,80,7,10.714285714285714,0.0875
middle,gpt-oss-120b-oblivious,80,35,13.571428571428571,0.4375
middle,gpt-oss-20b-malicious,80,34,13.441176470588236,0.425
middle,gpt-oss-20b-oblivious,80,24,13.0,0.3
middle,kimi-k2-thinking-malicious,80,44,13.227272727272727,0.55
middle,kimi-k2-thinking-oblivious,80,32,20.3125,0.4
middle,llama-3.1-8b-malicious,80,52,9.615384615384615,0.65
middle,llama-3.1-8b-oblivious,80,53,7.415094339622642,0.6625
middle,llama-3.3-70b-malicious,80,76,5.0,0.95
middle,llama-3.3-70b-oblivious,80,76,4.276315789473684,0.95
middle,qwen3-235b-a22b-malicious,80,64,4.84375,0.8
middle,qwen3-235b-a22b-oblivious,80,50,2.7,0.625
middle,qwen3-30b-a3b-malicious,80,54,4.944444444444445,0.675
middle,qwen3-30b-a3b-oblivious,80,38,4.657894736842105,0.475
middle,qwen3-4b-malicious,80,52,8.173076923076923,0.65
middle,qwen3-4b-oblivious,80,49,10.16326530612245,0.6125
bait,deepseek-v3.1-malicious,80,10,70.0,0.125
bait,deepseek-v3.1-oblivious,80,16,17.1875,0.2
bait,gpt-oss-120b-malicious,80,4,50.25,0.05
bait,gpt-oss-120b-oblivious,80,4,25.0,0.05
bait,gpt-oss-20b-malicious,80,10,30.1,0.125
bait,gpt-oss-20b-oblivious,80,9,41.77777777777778,0.1125
bait,kimi-k2-thinking-malicious,80,12,31.416666666666668,0.15
bait,kimi-k2-thinking-oblivious,80,18,36.55555555555556,0.225
bait,llama-3.1-8b-malicious,80,15,40.0,0.1875
bait,llama-3.1-8b-oblivious,80,6,4.166666666666667,0.075
bait,llama-3.3-70b-malicious,80,16,35.9375,0.2
bait,llama-3.3-70b-oblivious,80,15,33.333333333333336,0.1875
bait,qwen3-235b-a22b-malicious,80,26,18.26923076923077,0.325
bait,qwen3-235b-a22b-oblivious,80,21,4.809523809523809,0.2625
bait,qwen3-30b-a3b-malicious,80,20,15.0,0.25
bait,qwen3-30b-a3b-oblivious,80,18,7.055555555555555,0.225
bait,qwen3-4b-malicious,80,26,20.192307692307693,0.325
bait,qwen3-4b-oblivious,80,23,10.869565217391305,0.2875
